01 02 03
01 02 13
01 02 14
01 02 15
01 02 16
01 02 17
01 02 18
01 02 19
01 02 20
01 02 21
01 03 07
01 03 08
01 13 14
01 15 16
01 17 18
01 19 20
02 07 08
03 04 13
03 04 14
03 04 15
03 04 16
03 04 17
03 04 18
03 04 19
03 04 20
03 04 21
04 05 06
04 09 10
04 11 12
05 06 13
05 06 14
05 06 15
05 06 16
05 06 17
05 06 18
05 06 19
05 06 20
05 06 21
05 09 11
05 10 12
06 09 12
06 10 11
07 08 13
07 08 14
07 08 15
07 08 16
07 08 17
07 08 18
07 08 19
07 08 20
07 08 21
09 10 13
09 10 14
09 10 15
09 10 16
09 10 17
09 10 18
09 10 19
09 10 20
09 10 21
11 12 13
11 12 14
11 12 15
11 12 16
11 12 17
11 12 18
11 12 19
11 12 20
11 12 21
13 14 15
13 14 16
13 14 17
13 14 18
13 14 19
13 14 20
13 14 21
15 16 17
15 16 18
15 16 19
15 16 20
15 16 21
17 18 19
17 18 20
17 18 21
19 20 21
